,tweet_id,text,retweet_count,created_at
31,1648350367397171206, Joe Biden has made Americans unsafe.,0,Tue Apr 18 15:38:47 +0000 2023
32,1648350363634786307,'WHAT DATA SAYS IT' Biden's aide left STUTTERING After Matt Gaetz NAILS ... https://t.co/tLhL0NS86d via ,0,Tue Apr 18 15:38:46 +0000 2023
33,1648350361055535104," Just a reminder, so Biden can send all your money overseas and back to his pockets. The corrupt government of America!",0,Tue Apr 18 15:38:45 +0000 2023
34,1648350356391313415,"  I have been asking how 150 million + voted in the 2020 presidential when only 135 million were registered to vote that has just baffled me, and that no one is talking about the numbers here so Biden got 81milluon + and Trump got 71million that's 152million so 17million illegal",1,Tue Apr 18 15:38:44 +0000 2023
35,1648350355057438720,   Those are Donnie's shoes. Biden would take a chance on catching something from wearing them,0,Tue Apr 18 15:38:44 +0000 2023
36,1648350352981258244,Investment taxed at 86% — Biden's tax plan would kill Wall Street https://t.co/JhDgoWWLxz via ,0,Tue Apr 18 15:38:43 +0000 2023
37,1648350344814919685,Did Biden resign yet?,0,Tue Apr 18 15:38:41 +0000 2023
38,1648350344408100865, she has never had any evidence for anything she spews. she's going to expose biden on her podcast? she's a clown.,0,Tue Apr 18 15:38:41 +0000 2023
39,1648350342785163266,  Your budget provides assistance to a corrupt foreign leader to launder money back to Joe Biden. You will be held accountable for your complicity.,0,Tue Apr 18 15:38:41 +0000 2023
40,1648350341430403072," Biden - a failure
Behar - a failure
Pelosi - a failure
Carter - a failure
Navarro - a failure

Age is no excuse for being a failure - but I guess being a Marxist is! 🤦‍♂️",0,Tue Apr 18 15:38:40 +0000 2023
41,1648350340968853504," You and Biden are taking money OUT of our pockets, Gretch. https://t.co/yCVn1hO77L",3,Tue Apr 18 15:38:40 +0000 2023
42,1648350336019742721,   So should Biden then.,0,Tue Apr 18 15:38:39 +0000 2023
43,1648350335897939969,  Blue moon is owned by Miller coors. They did a similar can a few years ago,0,Tue Apr 18 15:38:39 +0000 2023
44,1648350332609757184,BIDEN MAFIA! New Financial Records Reveal SIX ADDITIONAL Biden Family Members Involved in Shady Overseas Deals,0,Tue Apr 18 15:38:38 +0000 2023
45,1648350326989426693,  Who cares about Hunter Biden?  Did he take a 2 billion dollar deal from the Saudi’s?  Does Hunter Biden have security clearance in the WH? Does he hold any official position?  Please knock it off about the cult talking point that doesn’t mean squat.  Let’s talk about Jared.,0,Tue Apr 18 15:38:37 +0000 2023
46,1648350325970026497," Chucky Schumer, as always, believes regular Americans are ignorant.  The Biden Admin ""temporarily"" boosted food stamps &amp; Medicaid (note nothing for middle class) due to covid. The pandemic has been de Laredo over so it is time to go back to normal. This is not ""curring""",0,Tue Apr 18 15:38:37 +0000 2023
47,1648350324732600321, Pete quit tweeting and start fixing the mess you made! You’re not doing your job! You are just like all of Biden’s clowns. Appointment for appearance not competence. What a clown act running our country… 🤡 🤡 🤡 https://t.co/PxhiEgJd2h,0,Tue Apr 18 15:38:36 +0000 2023
48,1648350322690252800," The Joe Biden impeachment has been postponed until such time as he commits a crime. Examples of possible crimes he could commit:

Trying to extort an ally for dirt on a political opponent.

Trying to overthrow the U.S. government with a bloody insurrection.",0,Tue Apr 18 15:38:36 +0000 2023
49,1648350321947860995,   Good to know you’re keeping track of Biden’s bowel movements.,0,Tue Apr 18 15:38:36 +0000 2023
50,1648350317052829697,"Ask   or maybe not, because he won't know either. He sold the UK out, to keep Biden happy. https://t.co/AV0HMLaJR8",1,Tue Apr 18 15:38:35 +0000 2023
51,1648350314695737345, Fentanyl and Abortion kill millions more. https://t.co/DBE0B39sME,0,Tue Apr 18 15:38:34 +0000 2023
52,1648350311671558144,"https://t.co/6XkuIFcoBF
   Quit quoting Chinese proverbs &amp; do something. America has apologized for our prosperity for 20 years; Americans should have their cake and eat it too in 2023 but Biden's administration has spent $6 trillion in 3 years &amp; we haven't fired one shot.",0,Tue Apr 18 15:38:33 +0000 2023
53,1648350310178656256,"How Manchin, Sinema, and Tester could deal major blow to Biden https://t.co/kKGlC8i4UQ",0,Tue Apr 18 15:38:33 +0000 2023
54,1648350308945231872,How GOP is now investigating nine Biden family members https://t.co/vboJLaHkZW,0,Tue Apr 18 15:38:33 +0000 2023
